_index,_type,_id,_score,_source.id,_source.twittos_a,_source.interaction,_source.twittos_b,_source.source
"twitter_interaction","_doc","1225951830611501056398152706","1","1225951830611501056398152706","1225951830611501056","follow","398152706",""
"twitter_interaction","_doc","318512416398152706","1","318512416398152706","318512416","follow","398152706",""
"twitter_interaction","_doc","822442984725745664398152706","1","822442984725745664398152706","822442984725745664","follow","398152706",""
"twitter_interaction","_doc","162281555398152706","1","162281555398152706","162281555","follow","398152706",""
"twitter_interaction","_doc","3072505414398152706","1","3072505414398152706","3072505414","follow","398152706",""
"twitter_interaction","_doc","1681212870398152706","1","1681212870398152706","1681212870","follow","398152706",""
"twitter_interaction","_doc","2659721222398152706","1","2659721222398152706","2659721222","follow","398152706",""
"twitter_interaction","_doc","1241128303299301377398152706","1","1241128303299301377398152706","1241128303299301377","follow","398152706",""
"twitter_interaction","_doc","1048603652196380675398152706","1","1048603652196380675398152706","1048603652196380675","follow","398152706",""
"twitter_interaction","_doc","1215298234014478337398152706","1","1215298234014478337398152706","1215298234014478337","follow","398152706",""
"twitter_interaction","_doc","25438263398152706","1","25438263398152706","25438263","follow","398152706",""
"twitter_interaction","_doc","958837339398152706","1","958837339398152706","958837339","follow","398152706",""
"twitter_interaction","_doc","1069875457695326208398152706","1","1069875457695326208398152706","1069875457695326208","follow","398152706",""
"twitter_interaction","_doc","18335777398152706","1","18335777398152706","18335777","follow","398152706",""
"twitter_interaction","_doc","1238425912254832641398152706","1","1238425912254832641398152706","1238425912254832641","follow","398152706",""
"twitter_interaction","_doc","3625176555398152706","1","3625176555398152706","3625176555","follow","398152706",""
"twitter_interaction","_doc","423157890398152706","1","423157890398152706","423157890","follow","398152706",""
"twitter_interaction","_doc","1118829725642674176398152706","1","1118829725642674176398152706","1118829725642674176","follow","398152706",""
"twitter_interaction","_doc","4888953879398152706","1","4888953879398152706","4888953879","follow","398152706",""
"twitter_interaction","_doc","21101429398152706","1","21101429398152706","21101429","follow","398152706",""
"twitter_interaction","_doc","3981527064741001774","1","3981527064741001774","398152706","follow","4741001774",""
"twitter_interaction","_doc","39815270618335777","1","39815270618335777","398152706","follow","18335777",""
"twitter_interaction","_doc","398152706101941335","1","398152706101941335","398152706","follow","101941335",""
"twitter_interaction","_doc","39815270659767183","1","39815270659767183","398152706","follow","59767183",""
"twitter_interaction","_doc","398152706148079454","1","398152706148079454","398152706","follow","148079454",""
"twitter_interaction","_doc","39815270618059920","1","39815270618059920","398152706","follow","18059920",""
"twitter_interaction","_doc","398152706151097627","1","398152706151097627","398152706","follow","151097627",""
"twitter_interaction","_doc","398152706310866763","1","398152706310866763","398152706","follow","310866763",""
"twitter_interaction","_doc","39815270644689598","1","39815270644689598","398152706","follow","44689598",""
"twitter_interaction","_doc","39815270625519370","1","39815270625519370","398152706","follow","25519370",""
"twitter_interaction","_doc","39815270656714555","1","39815270656714555","398152706","follow","56714555",""
"twitter_interaction","_doc","3981527063010560241","1","3981527063010560241","398152706","follow","3010560241",""
"twitter_interaction","_doc","398152706334944709","1","398152706334944709","398152706","follow","334944709",""
"twitter_interaction","_doc","398152706263194435","1","398152706263194435","398152706","follow","263194435",""
"twitter_interaction","_doc","398152706385574676","1","398152706385574676","398152706","follow","385574676",""
"twitter_interaction","_doc","39815270623448455","1","39815270623448455","398152706","follow","23448455",""
"twitter_interaction","_doc","39815270655655935","1","39815270655655935","398152706","follow","55655935",""
"twitter_interaction","_doc","39815270619084210","1","39815270619084210","398152706","follow","19084210",""
"twitter_interaction","_doc","39815270674486289","1","39815270674486289","398152706","follow","74486289",""
"twitter_interaction","_doc","39815270635790963","1","39815270635790963","398152706","follow","35790963",""
"twitter_interaction","_doc","262790203251008339","1","262790203251008339","262790203","follow","251008339",""
"twitter_interaction","_doc","2207041752251008339","1","2207041752251008339","2207041752","follow","251008339",""
"twitter_interaction","_doc","1205146541968777219251008339","1","1205146541968777219251008339","1205146541968777219","follow","251008339",""
"twitter_interaction","_doc","1075009766424948737251008339","1","1075009766424948737251008339","1075009766424948737","follow","251008339",""
"twitter_interaction","_doc","1061482061708414988251008339","1","1061482061708414988251008339","1061482061708414988","follow","251008339",""
"twitter_interaction","_doc","920876536453935104251008339","1","920876536453935104251008339","920876536453935104","follow","251008339",""
"twitter_interaction","_doc","1378671912251008339","1","1378671912251008339","1378671912","follow","251008339",""
"twitter_interaction","_doc","359432200251008339","1","359432200251008339","359432200","follow","251008339",""
"twitter_interaction","_doc","4296608834251008339","1","4296608834251008339","4296608834","follow","251008339",""
"twitter_interaction","_doc","797462821038497792251008339","1","797462821038497792251008339","797462821038497792","follow","251008339",""
"twitter_interaction","_doc","1186480834699595776251008339","1","1186480834699595776251008339","1186480834699595776","follow","251008339",""
"twitter_interaction","_doc","1242353950537347072251008339","1","1242353950537347072251008339","1242353950537347072","follow","251008339",""
"twitter_interaction","_doc","1161556407964979200251008339","1","1161556407964979200251008339","1161556407964979200","follow","251008339",""
"twitter_interaction","_doc","81034974251008339","1","81034974251008339","81034974","follow","251008339",""
"twitter_interaction","_doc","3327895716251008339","1","3327895716251008339","3327895716","follow","251008339",""
"twitter_interaction","_doc","1198644253242474496251008339","1","1198644253242474496251008339","1198644253242474496","follow","251008339",""
"twitter_interaction","_doc","805328677251008339","1","805328677251008339","805328677","follow","251008339",""
"twitter_interaction","_doc","975128123145707521251008339","1","975128123145707521251008339","975128123145707521","follow","251008339",""
"twitter_interaction","_doc","94251683251008339","1","94251683251008339","94251683","follow","251008339",""
"twitter_interaction","_doc","299159707251008339","1","299159707251008339","299159707","follow","251008339",""
"twitter_interaction","_doc","2510083391233144962583343105","1","2510083391233144962583343105","251008339","follow","1233144962583343105",""
"twitter_interaction","_doc","251008339292456706","1","251008339292456706","251008339","follow","292456706",""
"twitter_interaction","_doc","251008339731117568556142592","1","251008339731117568556142592","251008339","follow","731117568556142592",""
"twitter_interaction","_doc","251008339292558545","1","251008339292558545","251008339","follow","292558545",""
"twitter_interaction","_doc","25100833917482727","1","25100833917482727","251008339","follow","17482727",""
"twitter_interaction","_doc","251008339122263769","1","251008339122263769","251008339","follow","122263769",""
"twitter_interaction","_doc","2510083391222260547967733768","1","2510083391222260547967733768","251008339","follow","1222260547967733768",""
"twitter_interaction","_doc","251008339934281246435405824","1","251008339934281246435405824","251008339","follow","934281246435405824",""
"twitter_interaction","_doc","251008339219017382","1","251008339219017382","251008339","follow","219017382",""
"twitter_interaction","_doc","251008339132268612","1","251008339132268612","251008339","follow","132268612",""
"twitter_interaction","_doc","251008339701715847018975232","1","251008339701715847018975232","251008339","follow","701715847018975232",""
"twitter_interaction","_doc","25100833942362994","1","25100833942362994","251008339","follow","42362994",""
"twitter_interaction","_doc","251008339948568031042486273","1","251008339948568031042486273","251008339","follow","948568031042486273",""
"twitter_interaction","_doc","2510083392440580797","1","2510083392440580797","251008339","follow","2440580797",""
"twitter_interaction","_doc","2510083391003895325025865730","1","2510083391003895325025865730","251008339","follow","1003895325025865730",""
"twitter_interaction","_doc","25100833928309987","1","25100833928309987","251008339","follow","28309987",""
"twitter_interaction","_doc","251008339965448612","1","251008339965448612","251008339","follow","965448612",""
"twitter_interaction","_doc","251008339834971275672059905","1","251008339834971275672059905","251008339","follow","834971275672059905",""
"twitter_interaction","_doc","25100833968119551","1","25100833968119551","251008339","follow","68119551",""
"twitter_interaction","_doc","251008339351068922","1","251008339351068922","251008339","follow","351068922",""
"twitter_interaction","_doc","1240261413408571393756659591832866817","1","1240261413408571393756659591832866817","1240261413408571393","follow","756659591832866817",""
"twitter_interaction","_doc","1048525608890847232756659591832866817","1","1048525608890847232756659591832866817","1048525608890847232","follow","756659591832866817",""
"twitter_interaction","_doc","465658362756659591832866817","1","465658362756659591832866817","465658362","follow","756659591832866817",""
"twitter_interaction","_doc","45655109756659591832866817","1","45655109756659591832866817","45655109","follow","756659591832866817",""
"twitter_interaction","_doc","2317513413756659591832866817","1","2317513413756659591832866817","2317513413","follow","756659591832866817",""
"twitter_interaction","_doc","887971459756659591832866817","1","887971459756659591832866817","887971459","follow","756659591832866817",""
